// Grasscutter 3.3.54 GM Handbook
// Created 2023/01/24 10:05:08


// Commands
       account : 创建或删除账号
      announce : 向所有在线玩家发送公告，或者管理服务器的公告
         clear : 从你的背包中删除所有未装备且已解锁的物品，包括稀有物品
          coop : 强制传送指定玩家到他人的世界。如果没有指定玩家，则会使你进入多人游戏状态
         daily : This value does not exist. Please report this to the Discord: commands.daily.description
          enka : 🇺🇸Copy your character data from official server to private server using Enka.Network service (data taken only from Showcase)
 enter_dungeon : 进入指定秘境
        entity : This value does not exist. Please report this to the Discord: commands.entity.description
         equip : 🇺🇸You can replace current character weapon with a weapon that cannot be used by current character due to different types of weapons.
          give : 向你或指定的玩家给予物品。比如可以给予全部武器，角色和/或材料，也可以给予自定义圣遗物
          heal : 治疗当前队伍的角色
          help : 发送帮助信息或显示指定命令的信息
       killall : 杀死所有怪物
      language : 显示或切换当前语言
          list : 查看所有玩家
    permission : 添加或移除指定玩家的权限
      position : 获取所在位置和旋转信息
         quest : 添加或完成任务
        reload : 重载配置文件和数据
        remote : 🇺🇸Use this to access commands from web
    resetConst : 重置当前角色的命之座，执行命令后需重新登录以生效
resetShopLimit : 重置指定玩家的商店刷新时间
      sendMail : 向指定用户发送邮件。此命令的用法会根据撰写阶段而改变
   sendMessage : 向玩家以服务器的身份发送消息。如果没有指定目标，则向服务器的全部玩家发送
      setConst : 为当前活跃角色设置命座等级
setFetterLevel : 设置当前角色的好感度等级
       setProp : 设置账号的状态。比如可以通过此命令启用 godmode，也可以解锁深渊或更改纪行等级
                    可更改的状态列表：godmode(上帝模式)|nostamina(无限体力)|unlimitedenergy(无限能量)|abyss(深渊)|worldlevel(世界等级)|bplevel(纪行等级)
                    查看 PlayerProperty enum 以获得其他数值，格式为 PROP_MAX_SPRING_VOLUME -> max_spring_volume
      setStats : 设置当前角色的属性
                    可更改的属性列表：hp(生命值)|maxhp(最大生命值)|def(防御力)|atk(攻击力)|em(元素精通)|er(元素充能效率)|crate(暴击率)|cdmg(暴击伤害)|cdr(冷却缩减)|heal(治疗加成)|heali(受治疗加成)|shield(护盾强效)|defi(无视防御)
                    元素增伤：epyro(火)|ecryo(冰)|ehydro(水)|egeo(岩)|edendro(草)|eelectro(雷)|ephys(物理)
                    元素抗性：respyro(火)|rescryo(冰)|reshydro(水)|resgeo(岩)|resdendro(草)|reselectro(雷)|resphys(物理)
         spawn : 在你附近生成实体
          stop : 停止服务器
        talent : 设置当前角色的天赋等级
          team : 手动修改你的队伍
      teleport : 改变指定玩家的位置
   teleportAll : 将你世界中的所有玩家传送到你所在的位置
       weather : 更改天气ID和气候类型。
                    天气ID可以在 ./Resources/ExcelBinOutput/WeatherExcelConfigData.json 中找到。
                    气候类型：sunny(晴天), cloudy(多云), rain(雨), thunderstorm(雷雨), snow(雪), mist(雾)
 42303007 : Fatuus_Fire_01_MirrorBullet - [N/A] 625388663
 42303008 : Fatuus_Fire_01_Stage2MidGadget - [N/A] 536021271
 42303009 : Fatuus_Fire_01_Stage2DestGadget - [N/A] 2018601703
 42303010 : Fatuus_Fire_01_Stage2TriggerBullet - [N/A] 3155539727
 42303011 : Fatuus_Fire_01_Stage2Mirror - [N/A] 1863872391
 42303012 : Fatuus_Fire_01_Surrounding - [N/A] 2414559023
 42304001 : Defender_Laser - [N/A] 1556974791
 42304002 : Defender_AirflowField - [N/A] 671281767
 42304003 : Formathr_None_WindEffect - [N/A] 2943895847
 42304004 : Formathr_None_ChaseBullet_01 - [N/A] 3173249567
 42304005 : Formathr_None_ChaseBullet_02 - [N/A] 1351407687
 42304006 : Formathr_None_Laser - [N/A] 2429933527
 42304007 : Formathr_None_ClusterBulletToAir - [N/A] 72739303
 42304008 : Formathr_None_FollowHitBox1 - [N/A] 3054945063
 42304009 : Formathr_None_FollowHitBox2 - [N/A] 1133356599
 42304010 : Formathr_None_FollowHitBox3 - [N/A] 4130687655
 42304011 : Formathr_None_ClusterBulletToGround - [N/A] 3573338199
 42304012 : Formathr_None_DiveBullet - [N/A] 2564790655
 42304013 : Formathr_None_LaserCenter - [N/A] 3217144735
 42304014 : Defender_None_ChaseTarget - [N/A] 2713186999
 42304015 : Defender_None_ChaseBullet - [N/A] 982752751
 42304016 : Formathr_None_NormalBullet - [N/A] 2907136519
 42304017 : Konungmathr_None_LaserBullet - [N/A] 943546535
 42304018 : Konungmathr_None_Laser_ChasingTarget - [N/A] 3196525487
 42304019 : Konungmathr_None_EnergyBall_Big - [N/A] 3258599183
 42304020 : Konungmathr_None_EnergyBall_Small - [N/A] 344580551
 42304021 : Konungmathr_None_EnergyBall_Small_Land - [N/A] 1237060743
 42304022 : Konungmathr_None_EnergyBall_Small_Follow_1 - [N/A] 1829690023
 42304023 : Konungmathr_None_EnergyBall_Small_Follow_2 - [N/A] 2651134375
 42304024 : Konungmathr_None_EnergyBall_Small_Follow_3 - [N/A] 3947606679
 42304025 : Konungmathr_None_LaserBullet - [N/A] 3922436703
 42304026 : Konungmathr_None_MultiEnergyBall_Big - [N/A] 2379129423
 42304027 : Konungmathr_None_MultiEnergyBall_Small - [N/A] 3095329631
 42304028 : Konungmathr_None_MultiEnergyBall_Small_Land - [N/A] 2223070111
 42304029 : Konungmathr_None_MultiEnergyBall_Small_Follow_1 - [N/A] 1059215343
 42304030 : Konungmathr_None_MultiEnergyBall_Small_Follow_2 - [N/A] 1029189599
 42304031 : Konungmathr_None_MultiEnergyBall_Small_Follow_3 - [N/A] 1306504007
 42304032 : Konungmathr_None_ArmAtk_Laser - [N/A] 1112029135
 42304033 : Konungmathr_None_Enhance_Laser - [N/A] 3266742751
 42304034 : Konungmathr_None_DestroyLaser_Bullet - [N/A] 4281189567
 42304051 : Fatuus_Mage_Ice_Elite_IceSpike - [N/A] 1885792367
 42305001 : Fatuus_Maiden_WaterSpear_Normal - [N/A] 3036474055
 42305002 : Fatuus_Maiden_Water_DetectObj - [N/A] 4002726399
 42305003 : Fatuus_Maiden_Water_Capture - [N/A] 235566927
 42305004 : Fatuus_Maiden_WaterTomb - [N/A] 958426343
 42305005 : Fatuus_Maiden_Water_DetectLockObj - [N/A] 3018497175
 42305006 : Fatuus_Maiden_WaterSpear_Power - [N/A] 2164589231
 42305007 : Fatuus_Maiden_WaterTomb_LockEffect - [N/A] 1238088903
 42305008 : Fatuus_Maiden_Water_DetectOnce - [N/A] 1341980527
 42305009 : Fatuus_Maiden_Water_BlinkGate - [N/A] 262195287
 42305010 : Fatuus_Maiden_Water_DieDeleteOBJ - [N/A] 2737637719
 42401001 : Apparatus_Enigma_BionicDrone_AimAtk_Bullet - [N/A] 779030759
 42401002 : Apparatus_Enigma_BionicDrone_ChargeAtk_Bullet - [N/A] 3365718399
 42401003 : Apparatus_Enigma_BionicDrone_VoltSwitch_EnergyBall - [N/A] 1229757719
 42401004 : Apparatus_Enigma_BionicDrone_VoltSwitch_EnergyBall_Land - [N/A] 3425126839
 42401005 : Apparatus_Enigma_BionicDrone_CoveringFire_Position - [N/A] 486688567
 42401006 : Apparatus_Enigma_BionicFlora_RangeAtk_Bullet - [N/A] 2901395127
 42401007 : Apparatus_Enigma_BionicFlora_ScorchingSands_Position - [N/A] 1947736607
 42401008 : Apparatus_Enigma_BionicInsecta_ChargeAtk_Beam - [N/A] 4116443607
 42401009 : Apparatus_Enigma_BionicNettler_EnergyBall - [N/A] 2633207471
 42401010 : Apparatus_Enigma_BionicNettler_EnergyBall_Line - [N/A] 2506584927
 42401011 : Apparatus_Enigma_BionicNettler_TargetNearPosition1 - [N/A] 1994829391
 42401012 : Apparatus_Enigma_BionicNettler_TargetNearPosition2 - [N/A] 2649080135
 42401013 : Apparatus_Enigma_BionicNettler_TargetNearPosition3 - [N/A] 3506499343
 42401014 : Apparatus_Enigma_BionicNettler_TargetNearPosition4 - [N/A] 1262773327
 42401015 : Apparatus_Enigma_SupportPosition - [N/A] 1706026799
 42401016 : Nithhoggr_None_RunAttack_FollowBullet - [N/A] 3956946919
 42401017 : Nithhoggr_None_ChaseBullet_Dark - [N/A] 2624571775
 42401018 : Nithhoggr_None_ChaseBullet_Light - [N/A] 4216236711
 42401019 : Nithhoggr_None_ChaseTarget - [N/A] 1384728599
 42401020 : Nithhoggr_SceneObj_Gather_Ore - [N/A] 2737454783
 42401021 : Nithhoggr_SceneObj_AbyssCoreLvOne_Position01 - [N/A] 114966767
 42401022 : Nithhoggr_SceneObj_AbyssCoreLvOne_Position02 - [N/A] 3541080055
 42401023 : Nithhoggr_SceneObj_AbyssCoreLvOne_Position03 - [N/A] 3026158327
 42401024 : Nithhoggr_SceneObj_AbyssCoreLvOne_Position04 - [N/A] 1980948759
 42401025 : Nithhoggr_None_Swipe_FollowBullet - [N/A] 4234546335
 42402001 : Apparatus_Perpetual_RangeAtk_LaserBullet - [N/A] 435916831
 42402002 : Apparatus_Perpetual_RangeAtk_ChasingTarget - [N/A] 1938029975
 42402003 : Apparatus_Perpetual_ChargeAtk_LatencyGadget - [N/A] 1680720047
 42402004 : Apparatus_Perpetual_Recombination_Bullet - [N/A] 3121835447
 42402005 : Apparatus_Perpetual_FollowHitBox_NormalAtk1 - [N/A] 2659854471
 42402006 : Apparatus_Perpetual_FollowHitBox_NormalAtk2 - [N/A] 1945620767
 42402007 : Apparatus_Perpetual_InitialPos - [N/A] 2428607
 42403001 : Gargoyle_Fafnir_InitialPos - [N/A] 775442951
 42403002 : Gargoyle_Fafnir_Air_ChestBullet_Left - [N/A] 2264267759
 42403003 : Gargoyle_Fafnir_Air_ChestBullet_Right - [N/A] 4083515895
 42403004 : Gargoyle_Fafnir_Air_ChargeAtk_FollowBullet - [N/A] 1022346487
 42403005 : Gargoyle_Fafnir_Ground_ChargeAtk_FollowBullet - [N/A] 1441117223
 42403006 : Gargoyle_Fafnir_Air_WingAtk_Damage - [N/A] 938513255
 42403007 : Gargoyle_Fafnir_Air_ChargeAtk_FollowBullet_HitScene - [N/A] 2979690279
 42403008 : Gargoyle_Fafnir_Ground_ChargeAtk_FollowBullet_HitScene - [N/A] 1079609191
 42403011 : Gargoyle_Fafnir_ElementAtk_Bullet_None - [N/A] 420240511
 42403012 : Gargoyle_Fafnir_ElementAtk_Bullet_Fire - [N/A] 2110370655
 42403013 : Gargoyle_Fafnir_ElementAtk_Bullet_Water - [N/A] 940491671
 42403014 : Gargoyle_Fafnir_ElementAtk_Bullet_Grass - [N/A] 2762039767
 42403015 : Gargoyle_Fafnir_ElementAtk_Bullet_Electric - [N/A] 3032682119
 42403016 : Gargoyle_Fafnir_ElementAtk_Bullet_Ice - [N/A] 3850185679
 42403017 : Gargoyle_Fafnir_ElementAtk_Bullet_Wind - [N/A] 2349381703
 42403018 : Gargoyle_Fafnir_ElementAtk_Bullet_Rock - [N/A] 3157348735
 42403021 : Gargoyle_Airborne_ChestBullet_Left - [N/A] 1030024727
 42403022 : Gargoyle_Airborne_ChestBullet_Right - [N/A] 2248351303
 42403023 : Gargoyle_Airborne_WingAtk_Bullet - [N/A] 568876919
 42403031 : Gargoyle_Ground_ChargeAtk_FollowBullet - [N/A] 4190268207
 42403032 : Gargoyle_ElementAtk_Bullet_None - [N/A] 2854084959
 42403033 : Gargoyle_ElementAtk_Bullet_Fire - [N/A] 1502607447
 42403034 : Gargoyle_ElementAtk_Bullet_Water - [N/A] 3488576223
 42403035 : Gargoyle_ElementAtk_Bullet_Grass - [N/A] 649928095
 42403036 : Gargoyle_ElementAtk_Bullet_Electric - [N/A] 869934815
 42403037 : Gargoyle_ElementAtk_Bullet_Ice - [N/A] 240798351
 42403038 : Gargoyle_ElementAtk_Bullet_Wind - [N/A] 703796567
 42403039 : Gargoyle_ElementAtk_Bullet_Rock - [N/A] 3703880511
 42403040 : Gargoyle_Airborne_WingAtk_EffectBulletL - [N/A] 4034021175
 42403041 : Gargoyle_Airborne_WingAtk_EffectBulletR - [N/A] 2752722143
 42404001 : Panther_None_FollowBullet - [N/A] 1138535199
 42405001 : Monolith_Starchild_Lance - [N/A] 1493000591
 42405002 : Monolith_Starchild_Shield - [N/A] 1258103975
 42405003 : Monolith_Starchild_Drone - [N/A] 3071023583
 42405004 : Monolith_Starchild_ShieldBullet - [N/A] 3500003615
 42405005 : Monolith_Starchild_LanceCharge - [N/A] 733414327
 42405006 : Monolith_Starchild_ShieldCharge - [N/A] 3014531367
 42405007 : Monolith_Starchild_DroneCharge - [N/A] 4021415167
 42405008 : Monolith_Starchild_LanceCreator - [N/A] 1167327503
 42405009 : Monolith_Starchild_Part_ShieldBullet - [N/A] 397039495
 42405010 : Monolith_Ordinator_Lance - [N/A] 402720423
 42405011 : Monolith_Ordinator_LanceCreator - [N/A] 281089351
 42405012 : Monolith_Ordinator_Shield - [N/A] 4131278599
 42405013 : Monolith_Ordinator_Drone - [N/A] 2076573455
 42405014 : Monolith_Ordinator_ShieldBullet - [N/A] 2738685959
 42405015 : Monolith_Ordinator_Part_ShieldBullet - [N/A] 3645688367
 42405016 : Monolith_Starchild_ShieldLance - [N/A] 646074231
 42405017 : Monolith_Starchild_ShieldLance_Bullet - [N/A] 1882670359
 42405018 : Monolith_Starchild_DroneLance_Bullet - [N/A] 4151562903
 42405019 : Monolith_Starchild_ShieldLance_AtkBullet - [N/A] 3638546159
 42405020 : Monolith_Ordinator_LanceCharge - [N/A] 2490321711
 42405021 : Monolith_Ordinator_ShieldCharge - [N/A] 1505961847
 42405022 : Monolith_Ordinator_DroneCharge - [N/A] 3035675527
 42405023 : Monolith_Starchild_ShieldLaser_AtkBullet - [N/A] 342415271
 42405024 : Monolith_Starchild_AngryLance - [N/A] 582133063
 42405025 : Monolith_Ordinator_AngryLance - [N/A] 804749479
 42405026 : Monolith_Starchild_LanceLink_AtkBullet - [N/A] 3962107991
 42405027 : Monolith_Starchild_ShieldPush - [N/A] 3058440135
 42405028 : Monolith_Starchild_ImpactWave - [N/A] 1686268599
 42405029 : Monolith_Starchild_PowerAttack_ShieldDamage - [N/A] 1147635239
 42405030 : Monolith_Starchild_FullPowerAttack_LaserL - [N/A] 2086123143
 42405031 : Monolith_Starchild_FullPowerAttack_LaserR - [N/A] 392793703
 42405032 : Monolith_Starchild_FullPowerAttack_TrackHandler - [N/A] 270081807
 42405033 : Monolith_Starchild_PowerAttack_TrackBullet - [N/A] 287515559
 42405034 : Monolith_Ordinator_DroneLaserL - [N/A] 2960918847
 42405035 : Monolith_Ordinator_DroneLaserR - [N/A] 3216068607
 42405036 : Monolith_Ordinator_ShieldPush - [N/A] 775885831
 42405037 : Monolith_Ordinator_LanceB - [N/A] 1019492727
 42501001 : Thoarder_ThrowingKnife - [N/A] 781680047
 42501002 : Thoarder_Bomb - [N/A] 998742439
 42501003 : Thoarder_MolotovCocktail - [N/A] 1245395375
 42501004 : Thoarder_Bomb_Water_01 - [N/A] 2863591111
 42501005 : Thoarder_Bomb_Ice_01 - [N/A] 1273236423
 42501006 : Thoarder_Bomb_Electric_01 - [N/A] 1435792511
 42501007 : Thoarder_Bomb_ElementalEffect_Fire - [N/A] 2786610359
 42501008 : Thoarder_Bomb_ElementalEffect_Water - [N/A] 3669134711
 42501009 : Thoarder_Bomb_ElementalEffect_Ice - [N/A] 668029815
 42501010 : Thoarder_Bomb_ElementalEffect_Electric - [N/A] 962593591
 42501011 : Thoarder_Slippie_Fire_Arrow - [N/A] 3599471599
 42503001 : Thoarder_Shovel_MuddyBullet - [N/A] 1712453855
 42503002 : Thoarder_Fat_Shovel_MuddyBullet - [N/A] 2321526511
 42504001 : Thoarder_HatchetThrow - [N/A] 2149059703
 42504002 : Thoarder_HatchetThrow_Plus - [N/A] 466402807
 42507001 : Thoarder_HammerThrow - [N/A] 1169670639
 42508001 : Samurai_Ronin_ShootBullet - [N/A] 1319892455
 42508002 : Samurai_RushAtk_Scene - [N/A] 639483663
 42508003 : Samurai_Ronin_PowderObj - [N/A] 4098969807
 42508004 : Samurai_RushAtk_Bullet - [N/A] 766495143
 42508005 : Samurai_Hatamoto_CrazyAtk_Field - [N/A] 1832061471
 42509001 : Samurai_Ningyo_SilkObject - [N/A] 1555592935
 42509002 : Samurai_Ningyo_WindBladeAir1 - [N/A] 3314657943
 42509003 : Samurai_Ningyo_WindBladeAir2 - [N/A] 2566919047
 42509004 : Samurai_Ningyo_MaskCloseLock - [N/A] 1828389887
 42509005 : Samurai_Ningyo_ForceDodgeGhost - [N/A] 579818711
 42509006 : Samurai_Ningyo_WindGhost_BladeAir - [N/A] 3678424799
 42509007 : Samurai_Ningyo_IceGhost_IceArea - [N/A] 437773879
 42509008 : Samurai_Ningyo_ForceDodgeGhostBullet - [N/A] 3861957215
 42509009 : Samurai_Ningyo_Ghost_TriggerWindBlade - [N/A] 3466356903
 42509010 : Samurai_Ningyo_Ghost_WindMeleeAttack1 - [N/A] 1660723727
 42509011 : Samurai_Ningyo_Ghost_WindMeleeAttack2 - [N/A] 2610325183
 42509012 : Samurai_Ningyo_Ghost_WindMeleeAttack3 - [N/A] 1495889175
 42509013 : Samurai_Ningyo_Ghost_IceMeleeAttack1 - [N/A] 2063860495
 42509014 : Samurai_Ningyo_Ghost_IceMeleeAttack2 - [N/A] 3856439895
 42509015 : Samurai_Ningyo_Ghost_IceMeleeAttack3 - [N/A] 834836503
 42509016 : Samurai_Ningyo_MaskCloseLock_ToPlace - [N/A] 2596145183
 42509017 : Samurai_Ningyo_BornObject - [N/A] 3018148159
 42509018 : Samurai_Ningyo_LockTarget - [N/A] 712038119
 42509019 : Samurai_Ningyo_WindBladeAir_BladeMaster - [N/A] 865564191
 42510001 : Samurai_Kairagi_FireArea - [N/A] 2013216071
 42510002 : Kairagi_RushAtk_Bullet - [N/A] 4186423367
 42510003 : Kairagi_RushAtk_Bullet_Thunder - [N/A] 321225383
 42510004 : Kairagi_RushAtk_Bullet_Fire - [N/A] 1133971959
 42510005 : Samurai_Kairagi_BladeWind_DF - [N/A] 3881989415
 42520001 : Eremite_Arrow - [N/A] 2496539495
 42520002 : Eremite_Arrow_Weak - [N/A] 1920020975
 42520003 : Eremite_Dendro_Bomb - [N/A] 3438962743
 42520004 : Eremite_Dendro_Bomb_Hor - [N/A] 2780969863
 42520005 : Eremite_Dendro_Bomb_Infection - [N/A] 1249605559
 42530001 : Eremite_Glaive_ThrowGlaive_Bullet - [N/A] 1909742903
 42530002 : Eremite_Glaive_ThrowGlaive_Bullet02 - [N/A] 4196375135
 42530003 : Eremite_Glaive_ThrowGlaive_Forword - [N/A] 3742108679
 42530004 : Eremite_Glaive_ThrowGlaive_Back - [N/A] 7080887
 42540001 : Eremite_Katar_RockBomb_Bullet - [N/A] 3824447583
 42540002 : Eremite_Gator_ShaderCut_Gadget - [N/A] 1861909119
 42540003 : Eremite_Katar_MeleeAtk_Bullet - [N/A] 2540777455
 42540004 : Eremite_Gator_MeleeAtk_Bullet - [N/A] 100298247
 42540005 : Eremite_Gator_TailAtk_Bullet - [N/A] 3338851767
 42550001 : Eremite_Longbows_Arrow_Bullet - [N/A] 368892647
 42550002 : Eremite_Longbows_MoveShot_Bullet - [N/A] 1032029463
 42550003 : Eremite_Longbows_ChargeShot_Bullet - [N/A] 1978796647
 42550004 : Eremite_Vulture_ShaderCut_Gadget - [N/A] 1300085183
 42550005 : Eremite_Vulture_Tornado_Bullet - [N/A] 1108414855
 42550006 : Eremite_Vulture_WindArea - [N/A] 3706864199
 42550007 : Eremite_Longbows_MoveShot_Damage - [N/A] 687002071
 42550008 : Eremite_Longbows_AirShoot_WindArea - [N/A] 1292916871
 42560001 : Eremite_Dancer_Boomerang - [N/A] 3548492375
 42560002 : Eremite_Dancer_WheelSurround - [N/A] 3787607703
 42560003 : Eremite_Dancer_Trap - [N/A] 2195108999
 42560004 : Eremite_Chrysopelea_ShaderCut_Gadget - [N/A] 2831645047
 42560005 : Eremite_Chrysopelea_ComboAttack_Gadget - [N/A] 678410903
 42560006 : Eremite_Chrysopelea_RangeAttack_Bullet - [N/A] 2679176639
 42570001 : Eremite_Oracle_Stingers_Bullet - [N/A] 2445929463
 42570002 : Eremite_Oracle_LaserAttack_Bullet - [N/A] 3113180095
 42570003 : Eremite_Oracle_FunnelAttack_Bullet - [N/A] 4060731967
 42570004 : Eremite_Oracle_FunnelAttack_Gadget - [N/A] 3884020815
 42570005 : Eremite_Scorpion_ShaderCut_Gadget - [N/A] 2308962959
 42570006 : Eremite_Scorpion_RangeAttack_Bullet - [N/A] 2162733327
 42570007 : Eremite_Scorpion_MeleeAttack_Bullet - [N/A] 1655028663
 42570008 : Eremite_Scorpion_ComboAttack_Gadget - [N/A] 1971621423
 42570009 : Eremite_Scorpion_RangeAttack_RayBullet - [N/A] 1740862423
 42601001 : Mimik_Ice_ForwardBullet - [N/A] 1887752319
 42601002 : Mimik_Ice_ForwardCannon - [N/A] 239623631
 42601003 : Mimik_Ice_UpperMissile - [N/A] 2883953935
 42601004 : Mimik_Ice_UpperBomb - [N/A] 3690422487
 42601005 : Mimik_Ice_ForwardShootTarget - [N/A] 1305341135
 42601006 : Mimik_Attack01_Bullet01 - [N/A] 2336384151
 42601007 : Mimik_Attack01_Thorn - [N/A] 2195950487
 42601008 : Mimik_Fire_WilloWisp - [N/A] 577419343
 42601009 : Mimik_Fire_Bomb - [N/A] 557851791
 42601010 : Mimik_Electric_AreaBullet - [N/A] 2185906999
 42601011 : Mimik_Electric_Bomb - [N/A] 2468931479
 42601012 : Mimik_Electric_AreaBullet_Deployed - [N/A] 3873314727
 42601013 : Mimik_Electric_AimTarget - [N/A] 4094403359
 42601014 : Mimik_Electric_Bomb_ShockWave - [N/A] 1646630431
 42601015 : Mimik_Fel_Fruit_Broken - [N/A] 1266280655
 42601016 : Mimik_Fel_Fruit_Broken_Bullet - [N/A] 1686920335
 42601017 : Mimik_Fel_EnergyChit - [N/A] 3597311935
 42601018 : Mimik_Fel_EnergyChit_FlyBack - [N/A] 1540857655
 42601019 : Mimik_Fel_Fruit_FallingAttack - [N/A] 1739570231
 42601020 : Mimik_Fel_EnergyChit_FlyOut - [N/A] 3571821775
 42601021 : Bullet_Mimik_Fel_SnowBall_Falling - [N/A] 3225885103
 42601022 : Bullet_Mimik_Fel_SnowBall_Rolling - [N/A] 4281603727
 42601023 : Bullet_Mimik_Fel_UpperBullet_Attack - [N/A] 729253599
 42601024 : Bullet_Mimik_Fel_ForwardBullet - [N/A] 4237093783
 42601025 : Bullet_Mimik_Fel_UpperBullet - [N/A] 1738929127
 42601026 : Bullet_Mimik_Fel_Fruit_Shoot_Bullet - [N/A] 3509991103
 42601027 : Mimik_Fel_Fruit_ShootingAttack - [N/A] 3554845279
 42601028 : Mimik_Fel_Fruit_SummonAttack - [N/A] 1198668815
 42602001 : Regisvine_PartControlTarget - [N/A] 2701930895
 42602002 : Regisvine_FruitGadget - [N/A] 3256123087
 42602003 : Regisvine_CoreGadget - [N/A] 1683057087
 42602004 : Regisvine_RangedAttack01_Bullet - [N/A] 2875674823
 42602005 : Regisvine_RangedAttack02_MinorMissile - [N/A] 3345114047
 42602006 : Regisvine_MissileAttack_LargeMissile - [N/A] 186045111
 42602007 : Regisvine_RangedAttack01_Guide - [N/A] 3554275735
 42602008 : Regisvine_RangedAttack02_Bomb - [N/A] 3198471895
 42602009 : Regisvine_RangedAttack02_IceFog - [N/A] 1062109159
 42602010 : Regisvine_MeleeAttack03_IceFog - [N/A] 2050791567
 42602011 : Regisvine_RangedAttack02_BombOnGround - [N/A] 331396999
 42602012 : Regisvine_MissileAttack_OnGround - [N/A] 1647470239
 42602013 : Regisvine_RangedAttack01_GuideL - [N/A] 3894113399
 42602014 : Regisvine_RangedAttack01_GuideR - [N/A] 78450231
 42602015 : Regisvine_BlizzardSpit_IceFog - [N/A] 1619402295
 42602016 : Regisvine_Ice_IceWave - [N/A] 2575170191
 42602017 : Regisvine_Fire_FruitGadget - [N/A] 3921218519
 42602018 : Regisvine_Fire_CoreGadget - [N/A] 1319663175
 42602019 : Regisvine_Fire_WillOWisp - [N/A] 3444986647
 42602020 : Regisvine_Fire_FireWave - [N/A] 191547303
 42602021 : Regisvine_Fire_MeleeAttack03_FireArea - [N/A] 323221959
 42602022 : Regisvine_Fire_SurroundingFire - [N/A] 2598014183
 42602023 : Regisvine_Fire_FireBullet - [N/A] 3228115623
 42602024 : Regisvine_Fire_BlazeSeed - [N/A] 707763791
 42602025 : Regisvine_Fire_BlazeSeed_FireArea - [N/A] 2362036895
 42602026 : Regisvine_Fire_BlazeSeed_Bullet - [N/A] 3027208375
 42602027 : Regisvine_Fire_SurroundingFire_CloseField - [N/A] 3377827391
 42602028 : Regisvine_Fire_WillOWispLauncher - [N/A] 1120020559
 42602029 : Regisvine_Ice_Event_DropIce - [N/A] 2998939279
 42602030 : Regisvine_Ice_FruitGadget_Activity - [N/A] 3947527143
 42602031 : Regisvine_Ice_CoreGadget_Activity - [N/A] 3042918991
 42602032 : Regisvine_Electric_RangeAttack_Bullet_Cathode - [N/A] 1339735183
 42602033 : Regisvine_Electric_ThunderNet_Cathode_Bullet - [N/A] 2034824335
 42602034 : Regisvine_Electric_LaserAttack_Bullet - [N/A] 4121750231
 42602035 : Regisvine_Electric_Anode_Charge - [N/A] 1520655871
 42602036 : Regisvine_Electric_Cathode_Charge - [N/A] 879157839
 42602037 : Regisvine_Electric_ThunderAttack_Gadget - [N/A] 2055406631
 42602038 : Regisvine_Electric_ThunderAttack_Bullet - [N/A] 3698388159
 42602039 : Regisvine_Electric_MeleeAttack01_Wave_Anode - [N/A] 2688705343
 42602040 : Regisvine_Electric_MeleeAttack01_Wave_Cathode - [N/A] 211346751
 42602041 : Regisvine_Electric_FruitGadget - [N/A] 2525521231
 42602042 : Regisvine_Electric_CoreGadget - [N/A] 2213152495
 42602043 : Regisvine_Electric_CathodeRings - [N/A] 259515231
 42602044 : Regisvine_Electric_CollapseBullet_Anode - [N/A] 2636134751
 42602045 : Regisvine_Electric_CollapseBullet_Cathode - [N/A] 993453559
 42602046 : Regisvine_Electric_Collapse_Gadget - [N/A] 4046257911
 42602047 : Regisvine_Electric_Swtich_SenceDamageGadget_Anode - [N/A] 1313377727
 42602048 : Regisvine_Electric_Swtich_SenceDamageGadget_Cathode - [N/A] 1382470999
 42603011 : Wyrm_Rock_Roll_NextGadget - [N/A] 983023319
 42603012 : Wyrm_Rock_CrystalSeed_Trigger - [N/A] 3540017575
 42603013 : Wyrm_Rock_CrystalSeed - [N/A] 1343344119
 42603014 : Wyrm_Rock_FollowHitBox_Roll - [N/A] 3470986799
 42603015 : Wyrm_Rock_FollowHitBox_CrushAtk - [N/A] 1809552167
 42604011 : Drake_Rock_SlapGround_DamageWave - [N/A] 2966801071
 42604012 : Drake_Rock_SlapGroundFinal_DamageWave - [N/A] 2000916647
 42604013 : Drake_Rock_IceEnhance_Gadget - [N/A] 2179295239
 42604014 : Drake_Rock_WaterEnhance_Bullet - [N/A] 3276519167
 42604015 : Drake_Rock_ElecEnhance_Bullet - [N/A] 154544039
 42604016 : Drake_Rock_WaterEnhance_ChasingTarget - [N/A] 3107949879
 42604017 : Drake_Rock_FollowHitBox_Roll - [N/A] 3536463135
 42604018 : Drake_Rock_WaterEnhance_LatencyGadget - [N/A] 619183447
 42604019 : Drake_Rock_ElecEnhance_Pinball - [N/A] 2998229895
 42604020 : Drake_Rock_ElecEnhance_PinballArea - [N/A] 1262959095
 42604021 : Drake_Rock_FireEnhance_LatencyGadget - [N/A] 3914850783
 42605001 : Drake_Primo_Rock_ScaleShot_Bullet_Electric - [N/A] 2408192567
 42605002 : Drake_Primo_Rock_ScaleShot_Bullet_Fire - [N/A] 161880111
 42605003 : Drake_Primo_Rock_ScaleShot_Bullet_Ice - [N/A] 1993780911
 42605004 : Drake_Primo_Rock_ScaleShot_Bullet_Water - [N/A] 1141918607
